date,value
2005-01-01,0.47870967
2005-01-09,0.488194
2005-01-17,0.4916237
2005-01-25,0.4799378
2005-02-02,0.47518143
2005-02-10,0.47441456
2005-02-18,0.51965564
2005-02-26,0.48012233
2005-03-06,0.4845274
2005-03-14,0.48893246
2005-03-22,0.5480539
2005-03-30,0.6071754
2005-04-07,0.5679044
2005-04-15,0.52523947
2005-04-23,0.4910493
2005-05-01,0.42738158
2005-05-09,0.39329982
2005-05-17,0.35921803
2005-05-25,0.33506495
2005-06-02,0.30964467
2005-06-10,0.27025783
2005-06-18,0.29456624
2005-06-26,0.2588471
2005-07-04,0.2533958
2005-07-12,0.2409588
2005-07-20,0.23267435
2005-07-28,0.23135433
2005-08-05,0.26062846
2005-08-13,0.23244745
2005-08-21,0.23502505
2005-08-29,0.22905526
2005-09-06,0.23918635
2005-09-14,0.22417718
2005-09-22,0.22404127
2005-09-30,0.22149354
2005-10-08,0.26362875
2005-10-16,0.32111692
2005-10-24,0.39130434
2005-11-01,0.547236
2005-11-09,0.55807215
2005-11-17,0.61312413
2005-11-25,0.6210804
2005-12-03,0.6525896
2005-12-11,0.6476035
2005-12-19,0.60858655
2005-12-27,0.6731822
2006-01-01,0.6731822
2006-01-09,0.67667085
2006-01-17,0.65329593
2006-01-25,0.5640265
2006-02-02,0.62409526
2006-02-10,0.63323104
2006-02-18,0.6741276
2006-02-26,0.5699025
2006-03-06,0.6391345
2006-03-14,0.67033494
2006-03-22,0.71013016
2006-03-30,0.7000239
2006-04-07,0.7415612
2006-04-15,0.752004
2006-04-23,0.7017503
2006-05-01,0.723535
2006-05-09,0.67395437
2006-05-17,0.51467365
2006-05-25,0.46371242
2006-06-02,0.38162473
2006-06-10,0.36871037
2006-06-18,0.32774618
2006-06-26,0.29214302
2006-07-04,0.29583532
2006-07-12,0.27918118
2006-07-20,0.29230025
2006-07-28,0.27303922
2006-08-05,0.2560467
2006-08-13,0.25040764
2006-08-21,0.25221238
2006-08-29,0.23024677
2006-09-06,0.24972497
2006-09-14,0.23572664
2006-09-22,0.21863173
2006-09-30,0.26379544
2006-10-08,0.25914907
2006-10-16,0.3569218
2006-10-24,0.45469454
2006-11-01,0.5083991
2006-11-09,0.5621037
2006-11-17,0.5608668
2006-11-25,0.5947404
2006-12-03,0.61879015
2006-12-11,0.61775666
2006-12-19,0.5806145
2006-12-27,0.5622291
2007-01-01,0.58943695
2007-01-09,0.6166448
2007-01-17,0.60539216
2007-01-25,0.617701
2007-02-02,0.58152175
2007-02-10,0.6022666
2007-02-18,0.6062015
2007-02-26,0.618446
2007-03-06,0.63385826
2007-03-14,0.6118542
2007-03-22,0.6429325
2007-03-30,0.6530261
2007-04-07,0.6631197
2007-04-15,0.65943813
2007-04-23,0.65987045
2007-05-01,0.6387976
2007-05-09,0.6228382
2007-05-17,0.5760761
2007-05-25,0.48329386
2007-06-02,0.4514192
2007-06-10,0.41096735
2007-06-18,0.39289084
2007-06-26,0.393586
2007-07-04,0.37665325
2007-07-12,0.37142858
2007-07-20,0.33667812
2007-07-28,0.30565047
2007-08-05,0.3209355
2007-08-13,0.29085872
2007-08-21,0.2807148
2007-08-29,0.286298
2007-09-06,0.29807445
2007-09-14,0.323304
2007-09-22,0.35135135
2007-09-30,0.44600165
2007-10-08,0.45330295
2007-10-16,0.50271654
2007-10-24,0.54782045
2007-11-01,0.54032016
2007-11-09,0.46899563
2007-11-17,0.47057083
2007-11-25,0.43209878
2007-12-03,0.4734918
2007-12-11,0.45633534
2007-12-19,0.4685653
2007-12-27,0.4770497
2008-01-01,0.49008498
2008-01-09,0.5540755
2008-01-17,0.5448192
2008-01-25,0.5768099
2008-02-02,0.5518058
2008-02-10,0.5432937
2008-02-18,0.60625815
2008-02-26,0.64589626
2008-03-05,0.6320305
2008-03-13,0.58718234
2008-03-21,0.6029482
2008-03-29,0.59376574
2008-04-06,0.55894715
2008-04-14,0.6664798
2008-04-22,0.5985503
2008-04-30,0.6225456
2008-05-08,0.6350641
2008-05-16,0.6283947
2008-05-24,0.581797
2008-06-01,0.53519934
2008-06-09,0.49108204
2008-06-17,0.45027763
2008-06-25,0.36220044
2008-07-03,0.3606182
2008-07-11,0.33206728
2008-07-19,0.3105083
2008-07-27,0.2869028
2008-08-04,0.2757259
2008-08-12,0.27134806
2008-08-20,0.25743854
2008-08-28,0.2701784
2008-09-05,0.26169404
2008-09-13,0.23101583
2008-09-21,0.24791618
2008-09-29,0.22736031
2008-10-07,0.22794671
2008-10-15,0.23531081
2008-10-23,0.32306662
2008-10-31,0.324089
2008-11-08,0.3660221
2008-11-16,0.37288135
2008-11-24,0.36439168
2008-12-02,0.3943754
